HIP,RAhms,DEdms,Vmag,SpType,HD
2537,"00 32 11.38","+53 48 54.4",6.94,"K2",2825
2539,"00 32 14.04","+34 59 38.2",6.74,"A5IV",2866
2548,"00 32 23.75","+06 57 19.6",5.69,"B9.5V",2913
2553,"00 32 26.79","+43 29 41.3",6.69,"A1Vn",2888
2557,"00 32 30.01","+51 43 41.7",6.94,"K0",2873
2560,"00 32 31.92","+18 47 42.3",6.79,"K5",2911
2565,"00 32 34.57","+27 34 50.8",6.68,"A2IV",2924
2568,"00 32 35.40","+20 17 40.0",5.38,"K0III",2910
2572,"00 32 39.39","-25 21 34.5",6.72,"K0/K1III",2947
2573,"00 32 39.47","+23 11 36.1",6.84,"G8III-IV",2925
2576,"00 32 43.21","+38 50 37.8",6.9,"F0",2923
2578,"00 32 43.79","-63 01 53.0",5.07,"A0V",3003
2581,"00 32 47.46","+54 07 12.1",6.91,"K2III",2901
2583,"00 32 49.09","+28 16 48.8",6.26,"G8II",2942
2595,"00 32 55.79","+16 10 01.8",6.9,"F6III",2954
2599,"00 32 59.99","+62 55 54.4",4.17,"B1Ia",2905
2611,"00 33 10.32","+54 53 42.3",5.93,"K0III",2952
2628,"00 33 19.20","+70 58 54.7",6.41,"A0Vn",2904
2629,"00 33 23.23","-71 15 58.4",6.11,"A7IV",3112
2661,"00 33 41.06","-29 33 29.5",5.55,"K1III",3059
2663,"00 33 43.85","-35 00 03.0",6.41,"F8/G0V",3074
2695,"00 34 10.76","+10 17 58.5",6.76,"G5",3088
2701,"00 34 19.41","-42 25 52.6",6.88,"A5IV",3136
2707,"00 34 24.89","+66 45 01.3",6.47,"B9III",3038
2708,"00 34 25.14","-45 25 33.1",6.8,"K3III",3145
2710,"00 34 27.21","-06 30 13.3",6.9,"F2",3126
2711,"00 34 27.62","-52 22 23.5",5.57,"F3IV-V",3158
2734,"00 34 55.41","+13 22 16.6",6.39,"K0",3166
2753,"00 35 09.63","+36 49 56.2",6.58,"G8III-IV...",3165
2762,"00 35 14.64","-03 35 33.9",5.2,"F8V...",3196
2782,"00 35 29.06","+54 12 12.6",6.95,"A2",3184
2787,"00 35 32.75","-00 30 19.7",5.94,"F5IV",3229
2789,"00 35 33.32","-54 49 18.3",6.04,"K0IV",3303
2796,"00 35 37.17","+67 55 33.5",6.92,"K2Ib-II",3147
2802,"00 35 41.13","-48 00 02.4",5.51,"F6V",3302
2814,"00 35 48.69","+49 01 16.1",6.89,"A2",3210
2832,"00 35 54.88","+13 12 27.0",6.32,"F7V",3268
2841,"00 36 00.80","-59 43 01.9",6.91,"F2V",3375
2843,"00 36 01.72","-05 34 13.6",6.72,"F5",3296
2846,"00 36 03.20","-14 58 22.4",6.45,"K0III",3325
2852,"00 36 06.90","-22 50 32.0",6.06,"A5m...",3326
2854,"00 36 08.29","+54 10 06.4",5.08,"B7III",3240
2865,"00 36 20.09","+27 15 17.2",6.51,"B8IIIMNp...",3322
2876,"00 36 27.34","+60 19 34.4",5.78,"A4III",3283
