HIP,RAhms,DEdms,Vmag,SpType,HD
104499,"21 10 05.94","-29 43 15.8",6.66,"K4/K5III",201390
104501,"21 10 07.44","-64 01 31.1",6.92,"A3m...",201020
104508,"21 10 09.99","-43 22 57.7",6.56,"B8V",201317
104516,"21 10 15.55","+53 33 47.2",5.75,"B9III",201834
104521,"21 10 20.47","+10 07 55.0",4.7,"F0p",201601
104525,"21 10 24.50","-59 24 27.8",6.96,"A7IV/V",201172
104537,"21 10 30.96","+47 41 32.0",6.46,"B6IV",201836
104538,"21 10 31.31","+10 02 56.0",6.07,"A2Vs",201616
104539,"21 10 32.06","+22 27 16.8",6.71,"A1V",201671
104557,"21 10 46.87","-09 21 14.2",6.27,"K0III",201567
104579,"21 11 03.77","+36 17 58.5",6.53,"B1Vp",201819
104592,"21 11 15.56","+45 40 27.3",6.69,"F0III",201935
104597,"21 11 20.87","-72 32 39.4",6.18,"K1III",200924
104604,"21 11 22.80","-52 20 21.5",6.98,"F8V",201427
104620,"21 11 34.28","-56 31 01.8",6.93,"K1III",201411
104632,"21 11 40.37","+70 26 27.9",6.89,"K2",202432
104634,"21 11 41.31","-14 28 20.6",6.47,"Fm delta Del",201707
104642,"21 11 48.24","+59 59 11.8",5.64,"B0V",202214
104643,"21 11 48.53","+29 42 42.2",6.85,"B5",201912
104653,"21 11 56.82","+30 37 08.7",6.54,"G5",201939
104677,"21 12 12.25","+11 46 53.6",6.96,"K5",201892
104680,"21 12 13.67","-40 16 07.8",5.83,"F5IV",201647
104716,"21 12 45.28","+84 15 31.2",6.9,"G5",204149
104717,"21 12 45.34","+02 38 34.0",6.98,"A2",201941
104719,"21 12 47.25","+60 05 52.8",6.91,"M3Ib",202380
104728,"21 12 53.38","+35 47 51.8",6.75,"A2",202126
104732,"21 12 56.18","+30 13 37.5",3.21,"G8II SB",202109
104738,"21 13 02.93","-39 25 28.7",5.25,"F5V",201772
104750,"21 13 17.27","-27 37 08.6",5.41,"K3III",201901
104752,"21 13 18.94","-36 25 24.7",5.97,"K0III",201852
104755,"21 13 20.44","-70 07 34.4",5.06,"M2III",201371
104756,"21 13 21.60","+81 13 51.5",6.12,"A3IV",203501
104765,"21 13 26.43","+36 37 59.7",6.07,"F0III",202240
104771,"21 13 28.77","+15 58 56.8",6.27,"A7Vn",202128
104773,"21 13 29.44","-47 33 02.5",6.87,"M1III",201789
104788,"21 13 42.46","+64 24 15.1",6.38,"G2IV+...",202582
104791,"21 13 47.13","+70 01 39.5",6.67,"K0",202719
104822,"21 14 10.28","+29 54 03.5",6.18,"G2Ib",202314
104838,"21 14 16.67","-45 46 57.2",6.89,"K1III",201931
104839,"21 14 16.72","-10 36 19.4",6.77,"B9MNp...",202149
104858,"21 14 28.79","+10 00 27.8",4.47,"F5V+...",202275
104871,"21 14 36.37","+56 53 00.3",6.87,"K5",202583
104872,"21 14 37.03","+00 05 32.2",6.38,"M1III",202259
104884,"21 14 46.15","+16 28 45.2",6.95,"F0",202351
104886,"21 14 46.55","+64 45 01.2",6.98,"K0",202734
104887,"21 14 47.35","+38 02 39.6",3.74,"F1IV",202444
104907,"21 15 02.13","-49 05 51.1",6.84,"K3III",202026
104910,"21 15 03.82","-05 33 06.4",6.98,"K2",202307
104914,"21 15 06.62","-17 20 42.3",6.05,"K0III",202261
104919,"21 15 10.89","+51 16 54.9",6.99,"K0",202616
104925,"21 15 14.31","-40 30 21.9",6.2,"K1III",202135
104929,"21 15 17.25","-58 55 45.9",6.93,"G8III",201933
104941,"21 15 27.19","+42 01 33.8",6.6,"G0",202568
104962,"21 15 37.18","+47 58 26.4",6.45,"B4IV",202654
104963,"21 15 37.89","-20 39 06.1",5.17,"K0II/III",202320
104965,"21 15 41.09","-57 37 52.7",6.54,"F0V",202027
104967,"21 15 42.23","+16 43 40.1",6.96,"K0",202478
104968,"21 15 42.39","+77 00 44.1",5.92,"K5III",203399
104974,"21 15 44.83","-15 10 17.4",5.31,"M2III",202369
104978,"21 15 45.84","-53 15 47.0",5.73,"A6IV",202103
104980,"21 15 46.76","-36 12 38.5",6.13,"K3III",202287
104987,"21 15 49.40","+05 14 53.1",3.92,"G0III+...",202447
105000,"21 15 57.22","+25 26 02.1",6.99,"G5V:",202573
105002,"21 15 59.61","-13 12 09.1",6.62,"K0III",202407
105017,"21 16 17.12","+44 14 17.5",6.36,"K0III+...",202710
105019,"21 16 17.78","-09 12 52.8",6.45,"M4III:",202466
105034,"21 16 29.62","+42 15 06.6",6.23,"K2",202720
105046,"21 16 39.46","-01 36 27.8",6.48,"K0",202554
105064,"21 17 02.02","+53 59 51.4",6.12,"A1V",202923
105079,"21 17 13.54","-13 16 44.3",6.41,"A1V",202606
105080,"21 17 14.23","+55 47 52.7",6.0,"K3III",202987
105090,"21 17 17.71","-38 51 52.5",6.69,"M1/M2V",202560
105091,"21 17 18.79","+58 36 41.4",6.42,"B2III",203025
105101,"21 17 23.18","+42 41 00.8",6.17,"B7Vn",202862
105102,"21 17 24.95","+39 23 40.9",4.22,"B9Iab",202850
105104,"21 17 25.27","+08 14 02.7",6.99,"K2",202699
105106,"21 17 25.62","-30 44 44.5",6.85,"K1III",202540
105116,"21 17 36.35","+39 12 36.2",6.98,"F5",202880
105133,"21 17 52.56","-48 43 05.0",6.54,"K2III",202501
105138,"21 17 55.07","+34 53 48.8",4.41,"B2Vne",202904
105140,"21 17 56.25","-32 10 20.9",4.71,"A0V",202627
105143,"21 17 57.28","-17 59 06.5",5.4,"B5II/III",202671
105148,"21 18 00.47","-64 40 53.4",6.32,"B8V",202299
105164,"21 18 11.07","-04 31 10.2",5.83,"B5V",202753
105169,"21 18 16.20","-75 20 48.0",6.61,"A1V",201906
105181,"21 18 26.15","-20 20 07.5",6.62,"K0III",202725
105184,"21 18 27.08","-43 20 04.9",6.75,"G5V",202628
105185,"21 18 27.15","-47 00 07.8",6.96,"K4/K5III",202593
105186,"21 18 27.18","+43 56 45.5",5.04,"O8",203064
105193,"21 18 32.43","+61 11 03.8",6.43,"M3",203265
105199,"21 18 34.58","+62 35 07.6",2.45,"A7IV-V",203280
105205,"21 18 39.53","+24 39 34.2",6.61,"G8II-III",202975
105214,"21 18 43.73","-61 21 06.2",6.6,"G5V",202457
105219,"21 18 45.42","+50 04 09.7",6.96,"K5",203137
105224,"21 18 52.01","+11 12 12.0",5.97,"K5III",202951
105228,"21 18 54.32","-28 45 56.4",6.4,"K0IV",202773
105229,"21 18 55.33","+41 02 25.9",6.15,"A5IV",203096
105237,"21 19 00.03","+39 44 57.6",6.68,"A0",203112
105244,"21 19 03.13","-32 21 21.9",6.96,"K3III",202774
105250,"21 19 07.36","+61 51 30.5",6.66,"B0IVpe",203374
105254,"21 19 11.21","+17 49 20.6",6.7,"F2",203015
105256,"21 19 14.93","-16 10 46.1",6.91,"K0III",202890
105259,"21 19 15.69","+58 37 24.6",5.51,"B3Vv comp",203338
105264,"21 19 19.82","+38 48 23.7",6.99,"F5",203155
105267,"21 19 20.48","-13 02 52.6",6.88,"A4V",202929
105266,"21 19 20.54","-47 03 16.2",6.66,"K1III",202729
105269,"21 19 22.18","+38 14 14.9",5.89,"F2Ib",203156
105268,"21 19 22.21","+64 52 18.6",5.19,"B3IVe",203467
105275,"21 19 25.05","+58 19 35.4",6.99,"K2",203376
105282,"21 19 28.74","+49 30 37.0",5.75,"B6V",203245
105295,"21 19 39.35","+09 31 31.2",6.99,"A2",203067
105298,"21 19 40.76","+53 03 29.2",6.82,"K2",203320
105312,"21 19 46.00","-26 21 07.2",6.56,"G5V",202940
105319,"21 19 51.88","-53 26 57.4",4.39,"A5V",202730
105334,"21 20 09.48","-45 01 18.8",6.15,"C5II",202874
105344,"21 20 14.07","+22 01 34.2",6.29,"B6IV",203206
105352,"21 20 20.54","+33 29 07.7",6.93,"A0",203286
105357,"21 20 25.42","+60 41 14.2",6.73,"F5",203551
105370,"21 20 33.50","+60 45 23.2",6.11,"G5III",203574
105382,"21 20 45.58","-40 48 34.2",4.8,"A2p",203006
105390,"21 20 50.01","+32 27 08.4",6.45,"G8IV",203358
105406,"21 21 01.44","+40 20 44.1",6.39,"F8V",203454
105411,"21 21 04.24","+23 51 22.5",5.58,"K1III",203344
105412,"21 21 04.33","-04 33 36.5",5.87,"G7III:",203222
105413,"21 21 04.80","+07 21 16.4",5.81,"M2III",203291
105425,"21 21 16.60","-49 56 16.3",6.4,"K3III",203010
105430,"21 21 20.44","+46 43 47.3",6.73,"A2",203535
105431,"21 21 21.56","+10 19 56.6",6.72,"F5",203345
105432,"21 21 21.93","+32 36 46.0",6.05,"A1V",203439
105439,"21 21 23.71","-51 45 08.6",6.75,"K0:III+...",203021
105476,"21 21 49.09","-29 09 57.7",6.53,"K3III",203242
105478,"21 21 50.31","+01 21 42.0",6.79,"F2",203405
105491,"21 21 58.65","-09 19 40.3",6.81,"K2",203364
105497,"21 22 00.38","+49 23 19.3",5.68,"K0III",203644
105500,"21 22 01.70","+04 20 44.3",6.69,"K0",203440
105502,"21 22 05.13","+19 48 15.7",4.08,"K1III",203504
105515,"21 22 14.78","-16 50 04.4",4.28,"G8III",203387
105526,"21 22 21.31","+77 05 25.2",6.56,"A0",204408
105534,"21 22 26.76","-03 07 48.3",6.67,"F2",203458
105540,"21 22 28.95","+49 29 29.1",6.85,"B9",203746
105548,"21 22 35.92","+02 55 06.7",6.53,"F8",203522
105550,"21 22 37.02","-05 37 59.7",6.93,"K5",203486
105557,"21 22 42.00","+76 33 17.0",6.85,"G0",204426
105558,"21 22 42.03","+30 18 35.5",6.07,"K1III",203630
105560,"21 22 45.28","-48 27 25.3",6.95,"K2/K3III",203257
105561,"21 22 46.84","+38 38 03.6",6.63,"A1V",203696
105570,"21 22 53.58","+06 48 40.0",5.16,"A3V",203562
105574,"21 22 56.27","-09 19 09.4",5.99,"M0III",203525
105576,"21 23 00.47","-22 40 08.6",5.63,"M0III",203475
105607,"21 23 22.99","+37 24 23.3",6.55,"F6II-III",203784
105623,"21 23 35.38","+14 03 00.7",6.76,"B2.5IVne",203699
105635,"21 23 44.99","+69 32 04.1",6.93,"B8",204260
105637,"21 23 48.39","+37 21 05.4",6.46,"K5",203857
105646,"21 23 55.86","-25 12 08.7",6.47,"K1III",203607
105652,"21 23 58.74","+24 16 26.7",5.7,"F1IV",203803
105660,"21 24 07.42","+25 18 44.6",6.2,"A2V",203858
105662,"21 24 07.94","-22 44 49.5",6.38,"K0III",203639
105665,"21 24 09.60","-20 51 05.6",5.38,"K0III",203638
105668,"21 24 11.44","-12 52 41.3",5.48,"F0V",203705
105678,"21 24 16.73","-69 44 01.9",6.28,"C5II",203133
105683,"21 24 20.74","-24 25 20.8",6.73,"F2V",203652
105685,"21 24 20.80","-46 36 52.8",6.3,"A5m...",203548
105688,"21 24 22.66","+30 56 11.8",6.73,"A2",203924
105689,"21 24 23.11","+24 31 42.3",6.35,"K0III",203886
105695,"21 24 24.52","+10 10 27.1",6.33,"F5III",203842
105696,"21 24 24.80","-41 00 24.1",5.76,"A0III",203585
105703,"21 24 33.97","+26 10 28.4",5.67,"A8III",203925
105712,"21 24 40.42","-68 13 41.7",6.98,"G5V",203244
105727,"21 24 49.40","+80 31 29.5",5.97,"G6III:",205072
105729,"21 24 51.68","-03 23 53.6",6.38,"F0III",203843
105733,"21 24 55.45","+49 19 23.4",6.57,"B9sp...",204131
105738,"21 24 59.75","+27 25 04.8",6.99,"B8",204007
105761,"21 25 13.02","-09 44 53.3",5.71,"F0IV",203875
105764,"21 25 15.75","-34 51 23.6",6.92,"F7V",203754
105767,"21 25 16.96","-03 33 23.7",5.48,"K4III",203926
105768,"21 25 18.01","-71 47 56.7",6.09,"K2III",203212
105769,"21 25 19.39","+46 42 51.2",5.59,"F0V",204153
105779,"21 25 23.46","-45 09 42.7",6.83,"A0III",203725
105782,"21 25 24.90","-14 16 38.4",6.85,"A0V",203893
105810,"21 25 46.39","+15 37 04.0",6.8,"K2",204070
105811,"21 25 47.02","+36 40 02.7",5.93,"B0Ib",204172
105815,"21 25 48.54","-23 49 19.4",6.51,"K0IIICN...",203913
105819,"21 25 51.55","+00 32 03.5",6.45,"A1IV",204041
105833,"21 26 07.42","+18 03 54.4",6.83,"A0",204133
105841,"21 26 15.44","-54 39 38.0",6.1,"F1III",203760
105854,"21 26 22.75","-37 49 45.9",5.64,"K2III",203949
105856,"21 26 25.07","-12 05 42.0",6.7,"K0III",204073
105858,"21 26 26.49","-65 22 05.3",4.21,"F6V",203608
105860,"21 26 26.61","+19 22 32.2",6.08,"A8m",204188
105864,"21 26 27.99","+01 06 13.5",6.12,"F5V",204121
105881,"21 26 40.03","-22 24 41.0",3.77,"G4Ibp...",204075
105891,"21 26 44.95","+52 53 54.7",6.01,"B6V",204428
105898,"21 26 51.57","+48 50 06.4",5.29,"A6pe...",204411
105902,"21 26 54.71","+10 40 04.3",6.97,"F2",204234
105913,"21 27 01.66","-42 32 52.7",5.5,"Am",204018
105918,"21 27 06.66","+16 07 27.8",6.72,"F8V",204277
105928,"21 27 14.83","-21 11 46.1",5.78,"K3III",204139
105933,"21 27 16.96","+05 23 30.0",6.78,"F0",204265
105942,"21 27 21.36","+37 07 00.5",5.3,"B3V",204403
105949,"21 27 25.30","+59 45 00.4",6.11,"M3II-III...",204599
105966,"21 27 40.03","+27 36 30.8",5.39,"A1V",204414
105972,"21 27 46.16","+66 48 32.9",5.42,"B7V",204770
105986,"21 27 54.32","+46 33 41.5",6.86,"B3III",204536
105998,"21 28 04.98","+62 05 47.4",6.7,"K0III",204721
106003,"21 28 08.16","+32 13 30.5",5.75,"F0V",204485
106004,"21 28 10.50","-52 18 08.6",6.79,"K0III",204110
106007,"21 28 13.94","-11 34 05.4",6.61,"F7V",204363
106015,"21 28 21.65","-02 53 07.1",6.88,"K0",204404
106021,"21 28 24.83","+08 11 44.6",6.39,"M1",204445
106032,"21 28 39.58","+70 33 38.5",3.23,"B2IIIv SB",205021
106036,"21 28 42.26","+25 55 17.0",6.56,"K2III",204540
106039,"21 28 43.32","-21 48 25.8",4.5,"K0III",204381
106044,"21 28 44.79","-69 30 19.0",5.47,"M5III",203881
106049,"21 28 48.52","+49 47 42.4",6.79,"A3",204699
106052,"21 28 52.72","+55 25 07.2",6.14,"B8III",204754
106053,"21 28 52.79","+11 05 05.2",6.65,"F4II",204509
106062,"21 28 59.76","+22 10 45.9",5.84,"M4III",204585
106064,"21 28 59.92","+17 54 21.3",6.42,"K5",204560
106065,"21 29 00.08","-53 42 21.1",6.39,"K2IIICN...",204228
106067,"21 29 03.73","-31 14 18.7",6.52,"A1V",204394
106071,"21 29 06.34","+44 55 23.1",6.94,"B8Ib",204710
106081,"21 29 15.41","+28 35 00.0",6.75,"K2III",204642
106085,"21 29 20.54","+67 03 03.6",6.91,"A2",205022
106093,"21 29 26.91","+46 32 25.2",5.22,"K0III",204771
106103,"21 29 34.49","+06 34 53.0",6.41,"K0",204603
106108,"21 29 36.72","+46 25 35.2",6.72,"A3",204812
106115,"21 29 40.15","-14 01 36.4",6.86,"K4III",204548
106128,"21 29 51.43","-43 30 26.3",6.96,"K0/K1III",204437
106140,"21 29 56.88","+23 38 19.8",4.52,"M1III",204724
106143,"21 29 59.55","-19 08 51.8",6.57,"F3V",204577
106145,"21 30 00.89","+45 29 39.1",6.95,"B5",204860
106171,"21 30 20.31","+52 57 28.6",6.02,"A3V",204965
106184,"21 30 25.83","+44 52 29.9",6.77,"A5",204918
106199,"21 30 40.37","-14 17 28.1",6.63,"K2/K3III",204692
106215,"21 30 48.55","+31 57 27.9",6.96,"A5",204890
106226,"21 30 59.13","+70 49 23.6",6.97,"A2Vn",205372
106227,"21 30 59.29","+60 27 34.0",5.53,"B1II",205139
106230,"21 31 01.20","+59 25 05.0",6.86,"K0",205113
106243,"21 31 09.62","+12 08 15.0",6.1,"B9.5V",204862
106256,"21 31 18.16","+52 11 43.5",6.69,"K0",205084
106259,"21 31 21.83","-83 02 01.3",6.95,"A2V",203153
106267,"21 31 27.46","+52 37 11.5",6.17,"G2Ib+...",205114
106278,"21 31 33.52","-05 34 16.2",2.9,"G0Ib",204867
106293,"21 31 42.39","+48 35 04.8",6.84,"A0III:",205116
106306,"21 31 50.15","+23 50 42.6",6.43,"G8Ib",205011
106320,"21 32 02.86","-84 48 36.0",6.42,"K3III",202418
106327,"21 32 05.86","-41 10 45.6",5.29,"K0III",204783
106340,"21 32 14.58","-33 56 40.6",5.97,"A2V",204854
106346,"21 32 17.08","+48 26 37.9",6.58,"B9IV",205210
106351,"21 32 22.09","-12 16 02.2",6.73,"K5III",204971
106355,"21 32 27.00","+23 23 40.5",6.69,"B9sp...",205087
106363,"21 32 33.22","-24 35 25.6",6.43,"A7V",204943
106373,"21 32 39.96","+42 17 44.4",6.92,"K0",205212
106393,"21 32 56.58","+49 58 39.4",5.77,"A0V",205314
106409,"21 33 10.12","+48 18 12.4",6.83,"A1III",205331
106419,"21 33 17.62","-52 44 15.9",6.43,"K4III",204873
106420,"21 33 17.89","+45 51 14.5",6.27,"K1Ibvar",205349
106424,"21 33 21.07","-80 02 21.5",6.47,"A0V",203955
106429,"21 33 23.53","-44 50 55.3",5.57,"K0III",204960
106474,"21 33 54.47","-82 40 59.1",6.35,"B3IV",203532
106481,"21 33 58.87","+45 35 31.4",3.98,"G8III",205435
106483,"21 34 01.37","-46 36 38.2",6.91,"K1III",205048
106488,"21 34 07.61","-04 22 05.4",6.69,"A2",205244
106495,"21 34 15.09","-03 24 37.9",6.85,"K0",205260
106500,"21 34 17.18","-42 55 28.8",6.32,"K1IIICN...",205096
106515,"21 34 25.84","+66 43 35.5",6.95,"K1III",205741
106518,"21 34 27.46","+51 41 54.5",6.17,"B9III",205551
106527,"21 34 33.97","+22 45 16.7",6.45,"F7V",205420
106541,"21 34 40.01","-36 38 49.1",6.88,"K2II/III",205186
106544,"21 34 42.76","+01 49 45.1",6.41,"M3",205358
106550,"21 34 45.89","+18 19 44.0",6.47,"K2",205422
106551,"21 34 46.48","+38 32 01.8",4.87,"K1III",205512
106554,"21 34 46.99","+19 56 11.1",6.89,"K0",205436
106559,"21 34 51.07","-20 05 03.8",5.7,"F5V",205289
106564,"21 34 52.99","-29 41 45.9",6.42,"B8IIIw",205265
106566,"21 34 53.27","-51 49 37.3",6.72,"G6III/IV",205123
106568,"21 34 54.98","-20 15 09.2",6.74,"F7V",205306
106578,"21 35 08.64","+43 42 11.8",6.81,"B8",205601
106586,"21 35 13.67","-34 19 46.0",6.86,"F5V",205294
106590,"21 35 15.91","-23 27 15.4",6.39,"K1III",205342
106592,"21 35 17.63","-03 58 59.9",5.79,"G9III:",205423
106595,"21 35 19.02","+28 11 51.7",6.25,"F0IV",205539
106604,"21 35 25.91","+68 13 09.3",6.47,"Ap Si",205938
106605,"21 35 27.03","+24 27 07.9",6.22,"A4V",205541
106642,"21 36 02.44","+45 22 28.5",5.96,"M4IIIe-M6e",205730
106643,"21 36 05.09","+15 04 56.0",6.5,"G8II",205603
106654,"21 36 10.90","-26 10 17.2",5.73,"A7/A8IV",205471
106661,"21 36 14.02","+30 03 19.0",6.36,"G8III-IV",205688
106686,"21 36 32.60","-05 03 09.0",6.93,"K0",205605
106703,"21 36 48.75","-33 02 52.4",6.1,"A5V",205529
106711,"21 36 56.98","+40 24 48.6",5.04,"A5V",205835
106715,"21 36 58.54","-18 44 37.2",6.9,"K3III",205624
106723,"21 37 04.82","-19 27 57.6",4.51,"B3V:p",205637
106752,"21 37 27.88","+44 41 47.8",6.19,"A7III",205939
106755,"21 37 29.12","+04 40 56.8",6.54,"A5",205782
106758,"21 37 33.77","-00 23 25.8",6.22,"A2V",205765
106771,"21 37 38.81","+54 02 31.9",6.16,"K1III",206040
106783,"21 37 43.61","+06 37 06.2",6.19,"A2V",205811
106786,"21 37 45.04","-07 51 14.9",4.68,"A7V",205767
106787,"21 37 45.37","+19 19 06.9",5.46,"F1IV",205852
106790,"21 37 48.66","+39 19 01.8",6.76,"B9",205952
106801,"21 37 55.23","+62 04 55.0",4.76,"B2Ib",206165
106818,"21 38 02.80","-64 49 26.9",6.22,"A0/A1IV",205417
106834,"21 38 16.97","-69 37 48.4",6.78,"B8V",205348
106856,"21 38 31.87","+05 46 18.0",5.66,"A9IV-Vn",205924
106870,"21 38 41.24","-04 09 01.2",6.73,"M...",205925
106872,"21 38 45.16","+25 29 55.7",6.18,"G9III",206027
106881,"21 38 56.15","-79 26 33.1",6.17,"F4IV",204904
106886,"21 38 57.62","+57 29 20.6",5.74,"O6 (f)",206267
106897,"21 39 01.11","+20 15 55.6",5.77,"F2V",206043
106907,"21 39 06.07","-33 40 43.5",6.28,"G8IV",205872
106913,"21 39 09.90","-27 18 22.9",6.75,"G2V",205905
106938,"21 39 28.09","-10 34 36.4",6.07,"K0",206005
106942,"21 39 31.39","-00 03 04.1",6.66,"F7III",206058
106944,"21 39 33.28","+02 14 37.5",5.1,"K0III",206067
106955,"21 39 42.47","-42 26 44.1",6.64,"A9IV/V",205913
106968,"21 39 52.08","-43 07 55.2",6.73,"K1III",205933
106969,"21 39 53.72","+39 30 53.8",6.98,"A2",206261
106970,"21 39 53.96","+44 25 55.7",6.77,"B9",206280
106973,"21 39 55.11","+51 28 36.8",6.74,"K1II-III",206349
106978,"21 39 59.74","-52 21 32.5",6.2,"F7III",205877
106981,"21 40 01.86","+09 11 05.0",6.96,"A7Vvar",206155
106985,"21 40 05.34","-16 39 44.1",3.69,"A7III:mp...",206088
106999,"21 40 11.06","+43 16 25.7",5.09,"M1IIIvar",206330
107019,"21 40 27.34","-34 32 04.5",6.71,"K0/K1III",206063
107026,"21 40 32.38","+59 45 09.7",6.9,"G8III-IV",206536
107028,"21 40 33.47","+10 36 44.1",6.9,"K0",206228
107030,"21 40 33.69","-55 44 16.8",6.33,"K0III-IV",205935
107041,"21 40 43.30","+54 52 19.7",6.16,"K0III",206509
107046,"21 40 48.23","+03 53 48.8",6.83,"K5",206262
107066,"21 41 03.78","+34 40 30.5",6.93,"K2",206401
107079,"21 41 18.66","-35 35 06.2",6.92,"K2/K3III",206181
107084,"21 41 22.86","+21 56 38.5",6.99,"A0",206403
107089,"21 41 28.47","-77 23 22.1",3.73,"K0III",205478
107095,"21 41 32.93","-14 02 48.7",5.16,"G2V",206301
107097,"21 41 34.27","+40 48 19.2",6.07,"A2V",206538
107103,"21 41 39.36","-32 31 51.1",6.87,"G8III/IV",206252
107112,"21 41 46.22","-25 06 05.5",6.51,"K1III",206291
107119,"21 41 55.08","+71 18 40.3",4.55,"K0III",206952
107128,"21 42 00.64","-23 15 45.5",5.24,"K0III",206356
107129,"21 42 01.08","+35 30 36.7",5.98,"C6.3",206570
107136,"21 42 05.66","+51 11 22.7",4.69,"B3IV",206672
107140,"21 42 08.35","+45 45 56.7",6.11,"M4.5",206632
107144,"21 42 10.12","+01 17 07.0",5.66,"K2III",206445
107151,"21 42 15.44","+05 40 48.5",5.3,"M2III",206487
107162,"21 42 22.94","+41 04 37.3",5.73,"A0V",206644
107164,"21 42 24.19","+57 44 09.8",6.9,"B0V:pe",206773
107173,"21 42 32.95","+10 49 27.6",6.06,"B5IV",206540
107186,"21 42 38.81","+49 36 01.0",6.1,"G8II",206731
107188,"21 42 39.42","-18 51 58.7",4.72,"G8III",206453
107191,"21 42 40.56","+63 43 17.6",6.88,"F5",206913
107197,"21 42 45.37","+59 16 15.0",6.1,"K1III",206842
107214,"21 42 54.65","+23 19 18.4",6.98,"K1III",206646
107215,"21 42 56.02","+54 33 42.9",6.96,"K2",206823
107225,"21 43 02.01","-43 29 45.4",6.67,"G0IV",206395
107230,"21 43 04.13","+72 19 12.7",5.18,"K0III",207130
107232,"21 43 04.40","-14 23 59.1",5.88,"A9/F0V",206561
107235,"21 43 06.48","+41 09 18.0",5.51,"M2III",206749
107238,"21 43 13.48","-19 37 15.4",6.23,"A0m...",206546
107253,"21 43 25.63","+38 17 01.0",5.69,"A0V",206774
107259,"21 43 30.45","+58 46 48.2",4.23,"M2Ia",206936
107268,"21 43 36.63","+38 18 16.7",6.99,"A0",206807
107271,"21 43 39.79","+07 31 43.7",6.47,"K0",206689
107297,"21 43 58.12","+22 48 55.4",6.43,"K2",206793
107299,"21 43 59.16","-57 19 30.4",6.49,"F7IV/V",206429
107300,"21 44 00.50","-57 16 58.5",6.86,"F6IV/V",206428
107302,"21 44 00.98","-14 44 57.8",5.96,"A7IV/V",206677
107310,"21 44 08.40","+28 44 35.6",4.49,"F6V",206826
107315,"21 44 11.14","+09 52 30.0",2.38,"K2Ibvar",206778
107323,"21 44 18.01","-55 28 22.9",6.88,"M2IIIp",206502
107326,"21 44 19.18","+28 46 54.2",6.89,"A5",206874
107336,"21 44 23.88","-04 43 51.2",6.66,"A2",206766
107339,"21 44 25.43","+46 51 46.0",6.61,"F5",206963
107344,"21 44 29.41","-38 33 07.7",6.28,"K1IIICN...",206642
107348,"21 44 30.69","+17 21 00.2",4.34,"G5Ib",206859
107350,"21 44 31.19","+14 46 20.0",5.96,"G0V",206860
107354,"21 44 38.70","+25 38 42.0",4.14,"F5IV",206901
107355,"21 44 38.89","+58 13 32.3",6.8,"G9III",207086
107367,"21 44 48.20","+02 59 31.7",6.98,"K2",206863
107374,"21 44 53.28","+62 27 38.1",5.94,"O9II",207198
107380,"21 44 56.79","-33 01 32.0",4.35,"B9.5V",206742
107382,"21 45 00.25","-09 04 56.7",5.1,"G8II-III",206834
107398,"21 45 12.40","+52 16 03.3",6.4,"K5Ib",207119
107409,"21 45 18.67","-49 29 56.0",6.46,"K1III",206690
107412,"21 45 21.85","-12 47 00.1",6.69,"F5V",206893
107418,"21 45 26.93","+61 07 14.9",4.25,"A2Iavar",207260
107423,"21 45 28.81","-71 00 31.8",6.02,"B8IV",206399
107445,"21 45 44.45","+35 51 26.2",6.44,"G8III",207088
107462,"21 45 56.45","+25 35 00.4",6.57,"B8",207071
107472,"21 46 04.36","+22 56 56.0",5.29,"K0Ib",207089
107487,"21 46 16.26","-09 16 33.4",6.0,"M3III",207005
107488,"21 46 16.59","+43 03 38.7",6.52,"A4V+...",207218
107496,"21 46 19.73","-62 32 58.9",6.91,"K1III",206691
107502,"21 46 23.84","+25 33 48.1",6.28,"K3III:",207134
107504,"21 46 24.12","-32 42 52.7",6.76,"K3III",206958
107516,"21 46 31.83","-02 12 46.1",6.52,"M8IIIvar",207076
107517,"21 46 32.08","-11 21 57.4",5.57,"A1V",207052
107527,"21 46 42.07","-11 41 51.1",6.99,"F6V",207061
107531,"21 46 46.23","+13 43 10.6",6.67,"A3",207165
107533,"21 46 47.61","+49 18 34.5",4.23,"B3III",207330
107555,"21 47 00.87","+70 09 03.4",6.45,"A0V",207636
107556,"21 47 02.29","-16 07 35.6",2.85,"A5mF2 (IV)",207098
107558,"21 47 04.70","+17 11 38.7",6.18,"F3V",207223
107575,"21 47 13.96","+02 41 10.1",5.63,"A1V",207203
107585,"21 47 24.79","-04 36 31.0",6.85,"A2",207204
107586,"21 47 25.31","+60 41 33.7",5.53,"M1III",207528
107593,"21 47 34.61","-37 57 07.1",6.78,"K0III",207104
107596,"21 47 38.20","-05 55 00.6",6.17,"A7V",207235
107608,"21 47 44.17","-30 53 53.9",5.02,"A1V",207155
107637,"21 48 08.41","+36 34 49.5",6.25,"K5",207446
107648,"21 48 14.98","+65 10 14.4",6.74,"K0",207684
107649,"21 48 15.61","-47 18 10.4",5.57,"G2V",207129
107657,"21 48 23.51","+32 47 46.2",6.82,"A0",207469
107664,"21 48 29.34","+38 38 54.9",6.1,"B8V",207516
107669,"21 48 34.74","-47 46 32.3",6.79,"F0V",207193
107690,"21 48 54.41","-56 16 26.4",6.55,"B9V",207158
107702,"21 49 01.93","-05 24 13.1",6.66,"K0",207435
